config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	avg_rmse	avg_bz_rmse	score
17	1.0	0.7	1.2	0.0	0.95	1.0	0.0	0.0	0.7230178117752075	0.11928131245076656	0.4807902183383703
47	1.0	1.0	0.8	0.0	0.97	2.0	0.5	0.0	0.7379276752471924	0.12937382981181145	0.49833766743540764
15	1.0	0.7	0.8	0.0	0.97	2.0	0.5	0.0	0.7261592000722885	0.13953944109380245	0.5026190411299467
45	1.0	1.0	0.8	0.0	0.97	2.0	0.0	0.0	0.735031858086586	0.14261668175458908	0.5101326107978821
39	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.0	0.734901025891304	0.1431892979890108	0.5106398109346628
13	1.0	0.7	0.8	0.0	0.97	2.0	0.0	0.0	0.7231920808553696	0.15247349627315998	0.5140695367008448
7	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.0	0.72307288646698	0.15303110890090466	0.5145675521343946
63	1.0	1.0	1.2	0.0	0.97	2.0	0.5	0.0	0.7206148356199265	0.15426325984299183	0.514570677652955
31	1.0	0.7	1.2	0.0	0.97	2.0	0.5	0.0	0.7089683413505554	0.1675688549876213	0.522053025662899
37	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.0	0.7322500646114349	0.1562081314623356	0.522333163768053
5	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.0	0.7203606218099594	0.16575990989804268	0.5259402208030224
61	1.0	1.0	1.2	0.0	0.97	2.0	0.0	0.0	0.7176353633403778	0.167449738830328	0.5262674205005169
55	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.0	0.7175047248601913	0.16799596697092056	0.5267483294010162
29	1.0	0.7	1.2	0.0	0.97	2.0	0.0	0.0	0.7059419602155685	0.18046579137444496	0.5334367714822292
23	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.0	0.7058218717575073	0.18099133670330048	0.5339022725820541
53	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.0	0.7147870063781738	0.18074853718280792	0.5381420403718948
21	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.0	0.7030566483736038	0.19341301918029785	0.5449413433670998
